0.039933,0.038415,0.035961,0.03127,0.03552,0.037463,0.036923,0.03293,0.036601,0.033592
0.039934,0.038416,0.035963,0.031271,0.035521,0.037464,0.036925,0.032931,0.036602,0.033593
0.039941,0.038424,0.035971,0.031279,0.035529,0.037471,0.036932,0.032938,0.036609,0.0336
0.039959,0.038442,0.035992,0.031298,0.035548,0.03749,0.036951,0.032956,0.036626,0.033617
0.039992,0.038477,0.03603,0.031334,0.035585,0.037525,0.036986,0.03299,0.036658,0.033649
0.040044,0.038532,0.03609,0.03139,0.035642,0.037579,0.037042,0.033042,0.036708,0.033699
0.040119,0.038609,0.036175,0.03147,0.035723,0.037656,0.03712,0.033116,0.036779,0.03377
0.040217,0.038712,0.036287,0.031576,0.03583,0.037757,0.037225,0.033215,0.036874,0.033865
0.040342,0.038842,0.036428,0.03171,0.035966,0.037885,0.037356,0.03334,0.036994,0.033985
0.040494,0.039001,0.036599,0.031873,0.036132,0.038042,0.037517,0.033492,0.03714,0.034131
0.040675,0.03919,0.036801,0.032066,0.036329,0.038227,0.037707,0.033674,0.037314,0.034305
0.040886,0.039409,0.037035,0.032291,0.036558,0.038441,0.037928,0.033884,0.037517,0.034508
0.041126,0.039659,0.037301,0.032547,0.03682,0.038685,0.03818,0.034125,0.037748,0.034739
0.041395,0.03994,0.037599,0.032835,0.037114,0.038959,0.038462,0.034395,0.038008,0.034999
0.041695,0.040251,0.037928,0.033154,0.03744,0.039262,0.038776,0.034695,0.038298,0.035288
0.042024,0.040594,0.038287,0.033503,0.037799,0.039594,0.039119,0.035024,0.038615,0.035606
0.042381,0.040966,0.038676,0.033883,0.038188,0.039954,0.039493,0.035383,0.038961,0.035951
0.042767,0.041367,0.039094,0.034292,0.038609,0.040342,0.039895,0.035769,0.039335,0.036324
0.04318,0.041797,0.039539,0.03473,0.039059,0.040756,0.040325,0.036183,0.039735,0.036723
0.04362,0.042254,0.040011,0.035195,0.039538,0.041196,0.040782,0.036623,0.040161,0.037149
0.044084,0.042737,0.040509,0.035687,0.040044,0.04166,0.041265,0.037089,0.040612,0.037599
0.044574,0.043246,0.04103,0.036203,0.040577,0.042148,0.041772,0.03758,0.041088,0.038073
0.045086,0.043778,0.041574,0.036744,0.041135,0.042658,0.042304,0.038093,0.041586,0.03857
0.045621,0.044334,0.042139,0.037307,0.041718,0.043188,0.042857,0.038629,0.042106,0.039089
0.046177,0.044911,0.042723,0.037892,0.042323,0.043739,0.043432,0.039186,0.042647,0.039629
0.046752,0.045508,0.043327,0.038497,0.04295,0.044307,0.044026,0.039763,0.043208,0.040187
0.047346,0.046124,0.043947,0.03912,0.043596,0.044893,0.044638,0.040359,0.043787,0.040765
0.047957,0.046759,0.044583,0.039761,0.044262,0.045495,0.045268,0.040972,0.044383,0.041359
0.048584,0.047409,0.045233,0.040418,0.044944,0.046112,0.045914,0.041601,0.044996,0.041969
